i,j,y,t,alpha_hat,psi_hat
0,416,-1.0544138381747,1,-1.0319005081477144,-0.23043081827147976
0,765,-0.938120019871917,2,-1.0319005081477144,0.30169797652029184
1,327,-0.0402367850981296,1,-0.7079370845795753,0.6310814816257825
1,327,-0.113474420809456,2,-0.7079370845795753,0.6310814816257825
2,932,1.26975252636377,1,1.133531782687006,0.33778932989478394
2,932,1.67288969879981,2,1.133531782687006,0.33778932989478394
3,490,0.956166644207935,1,-0.34856042900406625,1.2836354290282668
3,490,0.913983355840466,2,-0.34856042900406625,1.2836354290282668
4,340,-0.388136519589429,1,0.051115251503513315,-0.2497314418079725
4,340,-0.00909586101948934,2,0.051115251503513315,-0.2497314418079725
5,388,1.71797515387572,1,1.0430658079706034,0.45399609441817673
5,388,1.27614865090184,2,1.0430658079706034,0.45399609441817673
6,138,1.35656829724913,1,-0.06585270759216355,1.5418168582499585
6,138,1.59536000406646,2,-0.06585270759216355,1.5418168582499585
7,425,-1.68138143240835,1,-1.7895496027428155,-0.10783447776607054
7,260,-2.07112354586661,2,-1.7895496027428155,-0.06557129502325856
8,889,-0.581970541839813,1,-0.9374602151316118,0.18698651734773875
8,889,-0.918976853727933,2,-0.9374602151316118,0.18698651734773875
9,662,-0.470973551349561,1,-0.837287756241494,0.09855251802527355
9,662,-1.00649692508288,2,-0.837287756241494,0.09855251802527355
10,20,1.65127502749116,1,0.9558714315799838,0.9325090439958813
10,20,2.12548592366057,2,0.9558714315799838,0.9325090439958813
11,565,0.0430989652140524,1,-0.6039981548726999,0.7978545024613981
11,565,0.344613729963344,2,-0.6039981548726999,0.7978545024613981
12,81,0.327474241339411,1,-0.2780742459342304,0.6952177583596906
12,36,0.211552305704281,2,-0.2780742459342304,0.3999572805524622
13,313,0.461425872349771,1,-0.04936065096144138,0.3902030118393119
13,313,0.22025884940597,2,-0.04936065096144138,0.3902030118393119
14,340,-1.36748690198766,1,-0.7929238675492122,-0.2497314418079725
14,340,-0.717823716726709,2,-0.7929238675492122,-0.2497314418079725
15,513,1.17803983655789,1,1.357344163616426,0.24093420710321886
15,513,2.0185169048814,2,1.357344163616426,0.24093420710321886
16,241,-0.0538205079855409,1,-0.11231787172769067,0.28114765144502174
16,241,0.391480067420203,2,-0.11231787172769067,0.28114765144502174
17,947,-1.92923367952819,1,-2.876036687505951,0.9632082057354707
17,947,-1.89642328401277,2,-2.876036687505951,0.9632082057354707
18,411,0.952032260646871,1,0.21825981249545823,0.8257686960390479
18,670,1.36010351227353,2,0.21825981249545823,1.0498474518904368
19,928,-0.505151683970647,1,-0.6906483247346571,0.3855655523552145
19,928,-0.105013860788238,2,-0.6906483247346571,0.3855655523552145
20,182,-1.05537937457613,1,-1.4378004214787223,0.4776413848806253
20,182,-0.864938698620064,2,-1.4378004214787223,0.4776413848806253
21,881,0.207535948941161,1,-0.8489536473414288,1.0215585663957443
21,881,0.13767388916747,2,-0.8489536473414288,1.0215585663957443
22,129,-1.02660169473186,1,-1.5316663573424936,0.3906596990247244
22,578,-1.03224012482691,2,-1.5316663573424936,0.6138311961014928
23,2,-1.94640331669215,1,-1.3885914925148888,-0.4433144814567961
23,2,-1.71740863125122,2,-1.3885914925148888,-0.4433144814567961
24,346,-0.419804224446081,1,-1.2606905429893132,0.6500212156389487
24,346,-0.801534430254648,2,-1.2606905429893132,0.6500212156389487
25,108,-2.50957085810883,1,-2.2491680105867897,-0.25492341397485546
25,108,-2.49861199101446,2,-2.2491680105867897,-0.25492341397485546
26,906,0.67453808185031,1,0.613558616886258,0.1192661403215345
26,906,0.791111432565275,2,0.613558616886258,0.1192661403215345
27,392,1.05123291264921,1,-0.3221360912472129,1.2783235023910384
27,768,0.579175005284301,2,-0.3221360912472129,0.9963565980368984
28,39,-1.65125989688021,1,-2.146481092093051,0.24385611979978125
28,39,-2.15399004770633,2,-2.146481092093051,0.24385611979978125
29,180,1.49410932787555,1,0.8279157729239714,0.7615564364566434
29,180,1.68483509088568,2,0.8279157729239714,0.7615564364566434
30,89,0.331853926832452,1,0.12123408569359373,0.3757463924774458
30,89,0.662107029509627,2,0.12123408569359373,0.3757463924774458
31,993,-0.311700401906945,1,-1.0199766409523572,0.7817423179619443
31,993,-0.164768244073881,2,-1.0199766409523572,0.7817423179619443
32,266,1.21703407344173,1,0.4774585726063971,0.8662244760805577
32,266,1.47033202393218,2,0.4774585726063971,0.8662244760805577
33,152,1.0346814634329,1,0.930402298652061,0.11077156474353902
33,152,1.0476662633583,2,0.930402298652061,0.11077156474353902
34,80,0.451560097315192,1,0.09240191589035784,0.6786377269010732
34,80,1.09051918826767,2,0.09240191589035784,0.6786377269010732
35,994,1.0152557278232,1,0.6583873611067017,0.32751398442601765
35,707,1.53652044983198,2,0.6583873611067017,0.9074874710157586
36,538,0.16284692136867,1,-0.0979030541300126,0.4195513033663666
36,538,0.480449577104038,2,-0.0979030541300126,0.4195513033663666
37,350,-0.364465426780567,1,-0.6544691768705444,0.0881458578822455
37,805,0.34487380434743,2,-0.6544691768705444,1.2012008734257063
38,544,0.0827935445146064,1,-0.34588202962499526,0.27975964166178646
38,544,-0.215038320441024,2,-0.34588202962499526,0.27975964166178646
39,649,-0.52398288784069,1,-1.1011686690170501,0.8143555841095877
39,394,-0.379801637218432,2,-1.1011686690170501,0.48419722886539046
40,107,-0.964165361235224,1,-1.4689542762824455,0.2986795429029963
40,294,-0.521458633000296,2,-1.4689542762824455,1.1536050154263748
41,702,0.771230988523221,1,-1.0435785663374146,1.901912034970279
41,339,-0.298662969837829,2,-1.0435785663374146,0.6578131163899427
42,506,-1.66200132529991,1,-1.837571788743813,0.092930603232938
42,506,-1.82728104572184,2,-1.837571788743813,0.092930603232938
43,782,1.3995581314416,1,1.5771880463124788,-0.29828977831187903
43,782,1.1582384045596,2,1.5771880463124788,-0.29828977831187903
44,474,1.6323650732104,1,0.7352303494157897,0.8460008446450452
44,865,0.295114205226756,2,0.7352303494157897,-0.38898226503946853
45,128,-1.22434739148664,1,-2.093587878683739,0.9860922739309353
45,128,-0.990643818018967,2,-2.093587878683739,0.9860922739309353
46,611,0.0653178399023622,1,-0.34031940970364566,0.5264408554551963
46,611,0.306925051600739,2,-0.34031940970364566,0.5264408554551963
47,161,0.0668847481391537,1,-1.2013252038923006,1.422204321250343
47,161,0.374873486576931,2,-1.2013252038923006,1.422204321250343
48,654,1.70800683089048,1,0.375475612127375,1.18048125358516
48,654,1.40390690053459,2,0.375475612127375,1.18048125358516
49,151,-0.483932804571274,1,-0.3141075554911034,-0.09585935195738943
49,109,0.332705605192567,2,-0.3141075554911034,0.5728472635608892
50,842,-0.175851655123398,1,-0.13084800160139617,0.13332243832490887
50,183,0.572331587103339,2,-0.13084800160139617,0.5248534968578245
51,17,0.118480646406334,1,-0.34304454113928795,0.726977559375725
51,17,0.64938539006654,2,-0.34304454113928795,0.726977559375725
52,892,-0.467571662965431,1,-0.8649842347999033,0.5266871451704978
52,262,-0.445589360299858,2,-0.8649842347999033,0.2901203011640197
53,303,0.579113931433507,1,0.7264624374184842,-0.2873674926557457
53,303,0.29907595809197,2,0.7264624374184842,-0.2873674926557457
54,918,1.17252248015834,1,-0.47929235713884966,1.511675177851464
54,918,0.892243161266889,2,-0.47929235713884966,1.511675177851464
55,666,2.19410853239201,1,0.77463528633688,1.3075979169593852
55,666,1.97035787420052,2,0.77463528633688,1.3075979169593852
56,221,-1.22232337524976,1,-1.9813834627820737,0.6026693854283188
56,221,-1.53510477945775,2,-1.9813834627820737,0.6026693854283188
57,418,1.38407475237272,1,-0.36229761758674606,1.2816955549362246
57,418,0.454721122326237,2,-0.36229761758674606,1.2816955549362246
58,568,-0.176771713115999,1,-0.4506173989120662,0.26389273065398067
58,568,-0.196677623400172,2,-0.4506173989120662,0.26389273065398067
59,231,-1.08579349976476,1,-0.4134703529005383,-0.3161627588141052
59,231,-0.373472723664527,2,-0.4134703529005383,-0.3161627588141052
60,315,0.47479093979751,1,0.07474284129045222,0.3571118184614453
60,315,0.388918379706285,2,0.07474284129045222,0.3571118184614453
61,628,-0.633089624263897,1,-0.9740901366778586,0.4082249356227736
61,945,-0.254898419026729,2,-0.9740901366778586,0.6519672944423177
62,428,0.111009109219641,1,-0.7328686922888785,1.153934026332838
62,732,0.527649017647112,2,-0.7328686922888785,0.950461485111672
63,288,-0.839743037306765,1,-1.7516673934284883,0.9426122747385013
63,288,-0.778367200073209,2,-1.7516673934284883,0.9426122747385013
64,269,-0.999657499551955,1,-1.3761263926321532,0.5838439092782172
64,269,-0.584907467155917,2,-1.3761263926321532,0.5838439092782172
65,68,0.111896202476461,1,-0.001575924941300516,0.09617928647146462
65,68,0.0773105205838672,2,-0.001575924941300516,0.09617928647146462
66,701,-0.104450820986793,1,0.0227973311435612,0.0369007678684863
66,701,0.223847019010888,2,0.0227973311435612,0.0369007678684863
67,154,-0.0597167624102817,1,-0.6246502906842487,0.5307466567951369
67,154,-0.128090505367942,2,-0.6246502906842487,0.5307466567951369
68,11,1.67440663193231,1,0.8009830948634293,1.1086280416345808
68,11,2.14481564106371,2,0.8009830948634293,1.1086280416345808
69,96,2.15759151916209,1,1.2576752078887785,0.7693295085296364
69,96,1.89641791367474,2,1.2576752078887785,0.7693295085296364
70,225,-0.828354158128665,1,-0.9680025835476956,0.21590087533883287
70,841,-0.471835791424751,2,-0.9680025835476956,0.4199143422031425
71,990,-1.60528882526386,1,-2.6699408664078743,1.3320185043993145
71,990,-1.07055589875326,2,-2.6699408664078743,1.3320185043993145
72,221,1.36677251512031,1,0.7316400085655919,0.6026693854283188
72,302,1.44371112271512,2,0.7316400085655919,0.7445342352759277
73,453,-1.23416850533044,1,-1.3686254313583666,-0.14816144409010576
73,497,-2.16342870039772,2,-1.3686254313583666,-0.5121848989213209
74,474,-0.186002360939421,1,-1.1462541318241497,0.8460008446450452
74,474,-0.414504213418788,2,-1.1462541318241497,0.8460008446450452
75,919,0.719215665947619,1,0.5657935088799658,0.23659210330691172
75,919,0.885555558426136,2,0.5657935088799658,0.23659210330691172
76,539,0.1529673211231,1,-0.7156887373106144,0.7086194702274115
76,539,-0.167105855289506,2,-0.7156887373106144,0.7086194702274115
77,418,-0.513504265160365,1,-1.7389380195879838,1.2816955549362246
77,305,-1.47463501141259,2,-1.7389380195879838,0.20804120766678846
78,721,0.517394590079775,1,-0.03251322590712569,0.2973958166612193
78,721,0.0123705914284122,2,-0.03251322590712569,0.2973958166612193
79,319,-0.45938490077169,1,-0.8639984504449431,0.5381957573959776
79,319,-0.192220485326241,2,-0.8639984504449431,0.5381957573959776
80,279,-1.8932061447295,1,-0.896856265626067,-1.005956928685622
80,559,-0.284765224769586,2,-0.896856265626067,0.6216980904386703
81,353,0.961183326734173,1,0.10131747832291416,0.8995969929280473
81,353,1.04064561576775,2,0.10131747832291416,0.8995969929280473
82,322,-0.0491350172463976,1,-0.9347288278114283,0.6074226635101813
82,189,-0.156947940227264,2,-0.9347288278114283,1.0559520346390137
83,91,-0.278226799178323,1,0.1649181533043902,-0.43744124817667057
83,730,1.46246502558416,2,0.1649181533043902,1.2918431679737272
84,457,-0.800142278756273,1,-1.105010927080687,0.41912444324119885
84,457,-0.571630688922703,2,-1.105010927080687,0.41912444324119885
85,965,-0.720227301874291,1,-0.16423062255124626,-0.1798818044231349
85,965,0.0320024479255286,2,-0.16423062255124626,-0.1798818044231349
86,100,0.524885228132556,1,0.376178227088237,0.17178433378396624
86,673,1.31055455959187,2,0.376178227088237,0.9112989997639857
87,127,0.510012162634566,1,-0.0006379896022183917,0.9752149783541214
87,127,1.43914181486924,2,-0.0006379896022183917,0.9752149783541214
88,502,-0.617335164588507,1,-0.7337647754182559,0.22846884357710096
88,502,-0.393256699093803,2,-0.7337647754182559,0.22846884357710096
89,843,1.28033620022091,1,0.5717029503924064,0.7477652071529236
89,843,1.35860011486975,2,0.5717029503924064,0.7477652071529236
90,76,0.128273768869207,1,0.4578480545009968,-0.4631118102504298
90,76,-0.138801280368073,2,0.4578480545009968,-0.4631118102504298
91,424,0.86387880001,1,-0.05864041370806716,1.172798596285102
91,778,0.492608980602755,2,-0.05864041370806716,0.30097001174378724
92,149,0.194016636437696,1,-0.3876993313520902,0.7834786308850847
92,149,0.597541962628293,2,-0.3876993313520902,0.7834786308850847
93,557,-1.13389747721902,1,-1.508017837162094,0.31533955715644385
93,557,-1.25145908279228,2,-1.508017837162094,0.31533955715644385
94,649,1.6962259461914,1,0.9358858023435395,0.8143555841095877
94,122,1.91188669276513,2,0.9358858023435395,0.921985450159863
95,225,-0.525060462013304,1,-0.8307172126279169,0.21590087533883287
95,225,-0.704572212564864,2,-0.8307172126279169,0.21590087533883287
96,930,1.34911917154308,1,1.4656276719008172,0.22574528385179124
96,813,2.45946914501117,2,1.4656276719008172,0.6515876889008241
97,552,0.671175057023459,1,0.8837831710548929,0.0935332950856567
97,552,1.28345787525764,2,0.8837831710548929,0.0935332950856567
98,211,-0.654373316966677,1,-0.9823284856574211,0.19102583357716907
98,240,-1.49565335427548,2,-0.9823284856574211,-0.37639553350448374
99,617,-1.61307394747478,1,-1.577432036971203,0.39182632114943244
99,693,-0.826076999012859,2,-1.577432036971203,0.3238868063053346
