worker_type,firm_type,A2
0,0,-3.0395132639470575
0,1,-1.6381050426149841
0,2,-1.9678332216644017
0,3,-2.4429199900059215
0,4,-1.366704328253561
0,5,-2.990374414584187
0,6,-1.3239374745887649
0,7,-2.4498068759776053
0,8,-2.243168346962489
0,9,-1.9291930882960022
1,0,-2.243835083797952
1,1,-0.664505170145383
1,2,-1.17125168256767
1,3,-1.4434797380766755
1,4,-0.5904413904771327
1,5,-1.974270718792518
1,6,-0.28887354522217573
1,7,-1.5360258231011659
1,8,-1.2367907113766146
1,9,-0.8287007749078797
2,0,-1.3839419210192274
2,1,-0.15774777730180886
2,2,-0.41351890914745776
2,3,-1.0468504440908062
2,4,0.16679629491577372
2,5,-1.1611942541870548
2,6,0.568684208891374
2,7,-0.801990455129769
2,8,-0.6614123975851601
2,9,-0.18438636352128682
3,0,-0.7647506776327875
3,1,0.5893709419554176
3,2,0.13183457409230973
3,3,-0.20485721056240178
3,4,0.7211415193992513
3,5,-0.5468082482671016
3,6,0.9654909387374526
3,7,-0.11207704259747268
3,8,0.003986520227619471
3,9,0.4649277273144528
4,0,0.021580702076463527
4,1,1.2984578511739961
4,2,0.8877685368207036
4,3,0.5688938748876027
4,4,1.5347255958767114
4,5,0.18725847618932953
4,6,1.838626717036836
4,7,0.684595529276529
4,8,0.75259510548125
4,9,1.1564390458775546
5,0,0.9471652191494999
5,1,2.3383213118392443
5,2,1.842632832992329
5,3,1.211280555111722
5,4,2.538540027138269
5,5,1.1359575509629547
5,6,2.9803992162804755
5,7,1.6069500443996239
5,8,1.6919507819683213
5,9,2.131768276754698
