worker_type,firm_type,S1
0,0,0.2080429943606751
0,1,0.4508076718157655
0,2,0.5704808651797286
0,3,0.4115512970537322
0,4,0.5600353610077247
0,5,0.6522047545789736
0,6,0.19359615497664945
0,7,0.5561125138335119
0,8,0.3260814461166093
0,9,0.48733688837337613
1,0,0.4018276103379894
1,1,0.4156132439594458
1,2,0.38664732578089894
1,3,0.34461015935459866
1,4,0.3504483761106206
1,5,0.31168020303407346
1,6,0.2863289824464308
1,7,0.26118140068695
1,8,0.3210576343539885
1,9,0.41422501250129146
2,0,0.36872578175349574
2,1,0.30436960261979185
2,2,0.3309944098913467
2,3,0.306445024474466
2,4,0.2896286118112969
2,5,0.3048250233790119
2,6,0.3019716570186649
2,7,0.3540066666330472
2,8,0.26883662216397125
2,9,0.3909661715302641
3,0,0.31527837304109396
3,1,0.36831717067130143
3,2,0.31749445738744553
3,3,0.29709311339820876
3,4,0.3139056673825975
3,5,0.2813754038227227
3,6,0.3099956076761497
3,7,0.4388686803184654
3,8,0.3131892717996818
3,9,0.44892743467722296
4,0,0.25307110669772165
4,1,0.37655455040224856
4,2,0.3635738895504632
4,3,0.5128488548476465
4,4,0.36165188987443725
4,5,0.4178123822004241
4,6,0.3521999332928056
4,7,0.3425423976882497
4,8,0.39340659905188824
4,9,0.42529873036125454
5,0,0.41587614394057193
5,1,0.447737068051389
5,2,0.47804564786076
5,3,0.5161030217116033
5,4,0.47643537095129784
5,5,0.5318756528856247
5,6,0.5872393173880784
5,7,0.4842593857051627
5,8,0.45454459088841015
5,9,0.490090406519671
