i,j1,j2,y1,y2,t11,t12,t21,t22,g1,g2,w1,w2,m
0,416,765,-1.0544138381747,-0.938120019871917,1,1,2,2,7,7,1,1,1
1,327,327,-0.07685560295379279,-0.07685560295379279,1,2,1,2,8,8,2,2,0
2,932,932,1.47132111258179,1.47132111258179,1,2,1,2,1,1,2,2,0
3,490,490,0.9350750000242005,0.9350750000242005,1,2,1,2,4,4,2,2,0
4,340,340,-0.19861619030445918,-0.19861619030445918,1,2,1,2,7,7,2,2,0
5,388,388,1.4970619023887801,1.4970619023887801,1,2,1,2,9,9,2,2,0
6,138,138,1.475964150657795,1.475964150657795,1,2,1,2,6,6,2,2,0
7,425,260,-1.68138143240835,-2.07112354586661,1,1,2,2,5,7,1,1,1
8,889,889,-0.7504736977838731,-0.7504736977838731,1,2,1,2,3,3,2,2,0
9,662,662,-0.7387352382162204,-0.7387352382162204,1,2,1,2,3,3,2,2,0
10,20,20,1.888380475575865,1.888380475575865,1,2,1,2,1,1,2,2,0
11,565,565,0.19385634758869819,0.19385634758869819,1,2,1,2,2,2,2,2,0
12,81,36,0.327474241339411,0.211552305704281,1,1,2,2,9,8,1,1,1
13,313,313,0.3408423608778705,0.3408423608778705,1,2,1,2,4,4,2,2,0
14,340,340,-1.0426553093571846,-1.0426553093571846,1,2,1,2,7,7,2,2,0
15,513,513,1.5982783707196448,1.5982783707196448,1,2,1,2,2,2,2,2,0
16,241,241,0.16882977971733107,0.16882977971733107,1,2,1,2,9,9,2,2,0
17,947,947,-1.91282848177048,-1.91282848177048,1,2,1,2,9,9,2,2,0
18,411,670,0.952032260646871,1.36010351227353,1,1,2,2,4,4,1,1,1
19,928,928,-0.30508277237944254,-0.30508277237944254,1,2,1,2,2,2,2,2,0
20,182,182,-0.960159036598097,-0.960159036598097,1,2,1,2,1,1,2,2,0
21,881,881,0.17260491905431552,0.17260491905431552,1,2,1,2,2,2,2,2,0
22,129,578,-1.02660169473186,-1.03224012482691,1,1,2,2,9,7,1,1,1
23,2,2,-1.831905973971685,-1.831905973971685,1,2,1,2,5,5,2,2,0
24,346,346,-0.6106693273503645,-0.6106693273503645,1,2,1,2,2,2,2,2,0
25,108,108,-2.5040914245616452,-2.5040914245616452,1,2,1,2,5,5,2,2,0
26,906,906,0.7328247572077925,0.7328247572077925,1,2,1,2,7,7,2,2,0
27,392,768,1.05123291264921,0.579175005284301,1,1,2,2,4,9,1,1,1
28,39,39,-1.9026249722932698,-1.9026249722932698,1,2,1,2,7,7,2,2,0
29,180,180,1.5894722093806148,1.5894722093806148,1,2,1,2,1,1,2,2,0
30,89,89,0.4969804781710395,0.4969804781710395,1,2,1,2,2,2,2,2,0
31,993,993,-0.23823432299041297,-0.23823432299041297,1,2,1,2,8,8,2,2,0
32,266,266,1.3436830486869549,1.3436830486869549,1,2,1,2,4,4,2,2,0
33,152,152,1.0411738633956,1.0411738633956,1,2,1,2,8,8,2,2,0
34,80,80,0.771039642791431,0.771039642791431,1,2,1,2,2,2,2,2,0
35,994,707,1.0152557278232,1.53652044983198,1,1,2,2,2,9,1,1,1
36,538,538,0.321648249236354,0.321648249236354,1,2,1,2,5,5,2,2,0
37,350,805,-0.364465426780567,0.34487380434743,1,1,2,2,3,1,1,1,1
38,544,544,-0.0661223879632088,-0.0661223879632088,1,2,1,2,2,2,2,2,0
39,649,394,-0.52398288784069,-0.379801637218432,1,1,2,2,9,8,1,1,1
40,107,294,-0.964165361235224,-0.521458633000296,1,1,2,2,3,4,1,1,1
41,702,339,0.771230988523221,-0.298662969837829,1,1,2,2,6,8,1,1,1
42,506,506,-1.744641185510875,-1.744641185510875,1,2,1,2,8,8,2,2,0
43,782,782,1.2788982680005998,1.2788982680005998,1,2,1,2,5,5,2,2,0
44,474,865,1.6323650732104,0.295114205226756,1,1,2,2,2,7,1,1,1
45,128,128,-1.1074956047528035,-1.1074956047528035,1,2,1,2,9,9,2,2,0
46,611,611,0.1861214457515506,0.1861214457515506,1,2,1,2,9,9,2,2,0
47,161,161,0.22087911735804233,0.22087911735804233,1,2,1,2,4,4,2,2,0
48,654,654,1.555956865712535,1.555956865712535,1,2,1,2,4,4,2,2,0
49,151,109,-0.483932804571274,0.332705605192567,1,1,2,2,8,8,1,1,1
50,842,183,-0.175851655123398,0.572331587103339,1,1,2,2,7,2,1,1,1
