j,blm_firm_type
0,3
1,9
2,5
3,0
4,2
5,3
6,8
7,4
8,2
9,9
10,1
11,6
12,3
13,7
14,4
15,4
16,7
17,2
18,2
19,5
20,1
21,5
22,8
23,3
24,4
25,0
26,5
27,9
28,1
29,5
30,6
31,1
32,6
33,9
34,8
35,9
36,8
37,2
38,4
39,7
40,8
41,9
42,5
43,9
44,4
45,2
46,2
47,8
48,2
49,1
50,4
51,3
52,0
53,5
54,9
55,8
56,4
57,5
58,7
59,5
60,2
61,7
62,9
63,6
64,8
65,8
66,7
67,6
68,8
69,1
70,2
71,9
72,7
73,1
74,6
75,1
76,5
77,9
78,1
79,9
80,2
81,9
82,4
83,2
84,9
85,8
86,2
87,1
88,1
89,2
90,3
91,5
92,4
93,9
94,1
95,4
96,9
97,9
98,6
99,3
100,3
101,6
102,8
103,7
104,4
105,9
106,6
107,3
108,5
109,8
110,7
111,5
112,7
113,8
114,5
115,5
116,4
117,5
118,8
119,1
120,7
121,3
122,9
123,8
124,9
125,5
126,0
127,2
128,9
129,9
130,8
131,8
132,2
133,6
134,7
135,4
136,0
137,9
138,6
139,1
140,5
141,6
142,5
143,2
144,6
145,5
146,2
147,5
148,9
149,9
150,2
151,8
152,8
153,9
154,8
155,9
156,8
157,1
158,8
159,7
160,5
161,4
162,0
163,2
164,9
165,1
166,2
167,8
168,1
169,5
170,0
171,6
172,9
173,5
174,5
175,0
176,9
177,2
178,0
179,9
180,1
181,8
182,1
183,2
184,6
185,1
186,1
187,8
188,8
189,4
190,9
191,2
192,2
193,9
194,6
195,5
196,8
197,1
198,4
199,4
200,8
201,7
202,2
203,9
204,9
205,8
206,2
207,0
208,2
209,2
210,9
211,3
212,0
213,9
214,7
215,9
216,8
217,7
218,2
219,0
220,8
221,8
222,7
223,8
224,2
225,2
226,9
227,7
228,8
229,1
230,4
231,5
232,5
233,2
234,2
235,8
236,1
237,5
238,8
239,2
240,0
241,9
242,4
243,8
244,9
245,1
246,9
247,1
248,2
249,7
250,4
251,9
252,9
253,1
254,7
255,0
256,5
257,6
258,7
259,5
260,7
261,3
262,8
263,8
264,8
265,2
266,4
267,0
268,6
269,2
270,9
271,8
272,1
273,6
274,6
275,7
276,6
277,9
278,8
279,0
280,0
281,2
282,4
283,5
284,2
285,7
286,4
287,3
288,4
289,8
290,9
291,9
292,9
293,9
294,4
295,7
296,4
297,8
298,2
299,9
300,2
301,8
302,1
303,5
304,6
305,8
306,9
307,9
308,4
309,2
310,9
311,1
312,1
313,4
314,5
315,8
316,0
317,8
318,2
319,7
320,4
321,3
322,2
323,1
324,9
325,0
326,8
327,8
328,1
329,1
330,1
331,8
332,7
333,1
334,4
335,9
336,4
337,1
338,0
339,8
340,7
341,4
342,2
343,9
344,1
345,1
346,2
347,6
348,2
349,6
350,3
351,6
352,8
353,1
354,5
355,7
356,8
357,9
358,7
359,4
360,4
361,2
362,8
363,8
364,9
365,4
366,3
367,9
368,2
369,4
370,6
371,9
372,2
373,1
374,9
375,1
376,2
377,9
378,1
379,9
380,3
381,8
382,9
383,9
384,8
385,9
386,8
387,9
388,9
389,8
390,1
391,3
392,4
393,9
394,8
395,6
396,8
397,6
398,1
399,7
400,8
401,7
402,1
403,1
404,9
405,6
406,0
407,7
408,9
409,7
410,6
411,4
412,4
413,9
414,5
415,9
416,7
417,4
418,1
419,6
420,1
421,4
422,3
423,8
424,4
425,5
426,1
427,8
428,1
429,5
430,9
431,2
432,2
433,7
434,0
435,1
436,1
437,1
438,6
439,2
440,3
441,6
442,1
443,4
444,9
445,2
446,4
447,1
448,2
449,6
450,0
451,3
452,2
453,5
454,7
455,5
456,4
457,8
458,2
459,6
460,4
461,2
462,9
463,2
464,8
465,5
466,6
467,8
468,9
469,8
470,2
471,4
472,1
473,5
474,2
475,6
476,2
477,4
478,4
479,8
480,4
481,6
482,8
483,4
484,1
485,9
486,5
487,8
488,9
489,1
490,4
491,1
492,9
493,4
494,4
495,4
496,1
497,5
498,2
499,7
500,6
501,9
502,7
503,8
504,3
505,1
506,8
507,6
508,7
509,1
510,5
511,2
512,7
513,2
514,5
515,1
516,9
517,2
518,2
519,3
520,7
521,9
522,2
523,5
524,7
525,5
526,2
527,0
528,9
529,4
530,9
531,1
532,2
533,8
534,5
535,4
536,4
537,9
538,5
539,9
540,7
541,2
542,8
543,5
544,2
545,1
546,1
547,8
548,4
549,9
550,8
551,5
552,7
553,4
554,4
555,7
556,0
557,7
558,9
559,2
560,3
561,1
562,3
563,4
564,7
565,2
566,6
567,9
568,8
569,4
570,7
571,9
572,6
573,4
574,7
575,4
576,4
577,2
578,7
579,8
580,1
581,1
582,2
583,3
584,8
585,7
586,2
587,7
588,2
589,4
590,0
591,0
592,9
593,1
594,5
595,1
596,3
597,0
598,1
599,5
600,0
601,2
602,1
603,5
604,3
605,1
606,1
607,8
608,8
609,3
610,9
611,9
612,2
613,9
614,8
615,2
616,4
617,7
618,4
619,2
620,1
621,4
622,8
623,1
624,7
625,9
626,7
627,2
628,8
629,9
630,4
631,7
632,4
633,1
634,8
635,5
636,3
637,8
638,9
639,0
640,4
641,9
642,6
643,9
644,8
645,2
646,2
647,0
648,6
649,9
650,6
651,6
652,7
653,1
654,4
655,8
656,8
657,1
658,9
659,8
660,7
661,8
662,3
663,2
664,2
665,3
666,4
667,2
668,7
669,2
670,4
671,1
672,8
673,9
674,9
675,9
676,9
677,2
678,1
679,7
680,2
681,9
682,7
683,1
684,1
685,0
686,8
687,2
688,8
689,4
690,0
691,2
692,9
693,7
694,2
695,6
696,5
697,8
698,8
699,5
700,0
701,3
702,6
703,2
704,8
705,1
706,9
707,9
708,7
709,8
710,6
711,2
712,6
713,2
714,2
715,9
716,2
717,9
718,6
719,7
720,4
721,3
722,1
723,4
724,5
725,2
726,2
727,6
728,3
729,1
730,1
731,2
732,9
733,9
734,9
735,4
736,4
737,3
738,3
739,3
740,2
741,2
742,6
743,7
744,9
745,2
746,9
747,9
748,7
749,9
750,2
751,4
752,1
753,1
754,9
755,9
756,3
757,9
758,4
759,9
760,2
761,4
762,8
763,2
764,4
765,7
766,8
767,9
768,9
769,8
770,9
771,0
772,8
773,6
774,9
775,2
776,7
777,5
778,8
779,8
780,2
781,4
782,5
783,1
784,7
785,2
786,4
787,9
788,2
789,5
790,6
791,7
792,9
793,2
794,4
795,2
796,8
797,6
798,5
799,6
800,8
801,1
802,2
803,2
804,1
805,1
806,9
807,1
808,1
809,1
810,4
811,8
812,7
813,9
814,6
815,8
816,9
817,1
818,3
819,8
820,1
821,9
822,8
823,8
824,4
825,9
826,8
827,5
828,9
829,7
830,2
831,4
832,3
833,4
834,1
835,8
836,2
837,2
838,9
839,8
840,4
841,2
842,7
843,9
844,1
845,9
846,4
847,2
848,7
849,4
850,1
851,9
852,8
853,8
854,2
855,4
856,1
857,5
858,8
859,9
860,8
861,7
862,3
863,7
864,7
865,7
866,2
867,3
868,3
869,3
870,9
871,5
872,5
873,2
874,8
875,7
876,1
877,4
878,3
879,8
880,8
881,2
882,8
883,7
884,5
885,2
886,3
887,1
888,2
889,3
890,4
891,0
892,2
893,4
894,8
895,9
896,9
897,1
898,9
899,1
900,0
901,2
902,9
903,3
904,5
905,3
906,7
907,9
908,7
909,1
910,1
911,8
912,8
913,9
914,8
915,1
916,1
917,6
918,6
919,5
920,2
921,8
922,3
923,4
924,5
925,4
926,5
927,5
928,2
929,8
930,8
931,4
932,1
933,4
934,1
935,1
936,4
937,6
938,2
939,9
940,2
941,2
942,9
943,1
944,6
945,9
946,9
947,9
948,8
949,7
950,2
951,2
952,1
953,2
954,2
955,7
956,5
957,3
958,9
959,3
960,2
961,9
962,3
963,4
964,2
965,5
966,8
967,9
968,8
969,8
970,2
971,9
972,9
973,4
974,8
975,7
976,1
977,8
978,8
979,2
980,6
981,0
982,2
983,9
984,2
985,9
986,2
987,5
988,5
989,1
990,6
991,7
992,2
993,8
994,2
995,6
996,4
997,8
998,9
999,7
