i,j,y,t
0,416,-1.0544138381747,1
0,765,-0.938120019871917,2
1,327,-0.0402367850981296,1
1,327,-0.113474420809456,2
2,932,1.26975252636377,1
2,932,1.67288969879981,2
3,490,0.956166644207935,1
3,490,0.913983355840466,2
4,340,-0.388136519589429,1
4,340,-0.00909586101948934,2
5,388,1.71797515387572,1
5,388,1.27614865090184,2
6,138,1.35656829724913,1
6,138,1.59536000406646,2
7,425,-1.68138143240835,1
7,260,-2.07112354586661,2
8,889,-0.581970541839813,1
8,889,-0.918976853727933,2
9,662,-0.470973551349561,1
9,662,-1.00649692508288,2
10,20,1.65127502749116,1
10,20,2.12548592366057,2
11,565,0.0430989652140524,1
11,565,0.344613729963344,2
12,81,0.327474241339411,1
12,36,0.211552305704281,2
13,313,0.461425872349771,1
13,313,0.22025884940597,2
14,340,-1.36748690198766,1
14,340,-0.717823716726709,2
15,513,1.17803983655789,1
15,513,2.0185169048814,2
16,241,-0.0538205079855409,1
16,241,0.391480067420203,2
17,947,-1.92923367952819,1
17,947,-1.89642328401277,2
18,411,0.952032260646871,1
18,670,1.36010351227353,2
19,928,-0.505151683970647,1
19,928,-0.105013860788238,2
20,182,-1.05537937457613,1
20,182,-0.864938698620064,2
21,881,0.207535948941161,1
21,881,0.13767388916747,2
22,129,-1.02660169473186,1
22,578,-1.03224012482691,2
23,2,-1.94640331669215,1
23,2,-1.71740863125122,2
24,346,-0.419804224446081,1
24,346,-0.801534430254648,2
25,108,-2.50957085810883,1
25,108,-2.49861199101446,2
26,906,0.67453808185031,1
26,906,0.791111432565275,2
27,392,1.05123291264921,1
27,768,0.579175005284301,2
28,39,-1.65125989688021,1
28,39,-2.15399004770633,2
29,180,1.49410932787555,1
29,180,1.68483509088568,2
30,89,0.331853926832452,1
30,89,0.662107029509627,2
31,993,-0.311700401906945,1
31,993,-0.164768244073881,2
32,266,1.21703407344173,1
32,266,1.47033202393218,2
33,152,1.0346814634329,1
33,152,1.0476662633583,2
34,80,0.451560097315192,1
34,80,1.09051918826767,2
35,994,1.0152557278232,1
35,707,1.53652044983198,2
36,538,0.16284692136867,1
36,538,0.480449577104038,2
37,350,-0.364465426780567,1
37,805,0.34487380434743,2
38,544,0.0827935445146064,1
38,544,-0.215038320441024,2
39,649,-0.52398288784069,1
39,394,-0.379801637218432,2
40,107,-0.964165361235224,1
40,294,-0.521458633000296,2
41,702,0.771230988523221,1
41,339,-0.298662969837829,2
42,506,-1.66200132529991,1
42,506,-1.82728104572184,2
43,782,1.3995581314416,1
43,782,1.1582384045596,2
44,474,1.6323650732104,1
44,865,0.295114205226756,2
45,128,-1.22434739148664,1
45,128,-0.990643818018967,2
46,611,0.0653178399023622,1
46,611,0.306925051600739,2
47,161,0.0668847481391537,1
47,161,0.374873486576931,2
48,654,1.70800683089048,1
48,654,1.40390690053459,2
49,151,-0.483932804571274,1
49,109,0.332705605192567,2
50,842,-0.175851655123398,1
50,183,0.572331587103339,2
51,17,0.118480646406334,1
51,17,0.64938539006654,2
52,892,-0.467571662965431,1
52,262,-0.445589360299858,2
53,303,0.579113931433507,1
53,303,0.29907595809197,2
54,918,1.17252248015834,1
54,918,0.892243161266889,2
55,666,2.19410853239201,1
55,666,1.97035787420052,2
56,221,-1.22232337524976,1
56,221,-1.53510477945775,2
57,418,1.38407475237272,1
57,418,0.454721122326237,2
58,568,-0.176771713115999,1
58,568,-0.196677623400172,2
59,231,-1.08579349976476,1
59,231,-0.373472723664527,2
60,315,0.47479093979751,1
60,315,0.388918379706285,2
61,628,-0.633089624263897,1
61,945,-0.254898419026729,2
62,428,0.111009109219641,1
62,732,0.527649017647112,2
63,288,-0.839743037306765,1
63,288,-0.778367200073209,2
64,269,-0.999657499551955,1
64,269,-0.584907467155917,2
65,68,0.111896202476461,1
65,68,0.0773105205838672,2
66,701,-0.104450820986793,1
66,701,0.223847019010888,2
67,154,-0.0597167624102817,1
67,154,-0.128090505367942,2
68,11,1.67440663193231,1
68,11,2.14481564106371,2
69,96,2.15759151916209,1
69,96,1.89641791367474,2
70,225,-0.828354158128665,1
70,841,-0.471835791424751,2
