i,j,t,y,alpha,psi,lambda_t,eps,mover
0,416,1,-1.0544138381747,-0.560475646552213,-0.614905466424771,0,0.12096727480228,TRUE
0,765,2,-0.938120019871917,-0.560475646552213,-0.203375785914012,0.05,-0.224268587405693,TRUE
1,327,1,-0.0402367850981296,-0.23017748948328,0.0774283083219715,0,0.112512396063179,FALSE
1,327,2,-0.113474420809456,-0.23017748948328,0.0774283083219715,0.05,-0.0107252396481479,FALSE
2,932,1,1.26975252636377,1.55870831414912,-0.0623413464042241,0,-0.226614441381133,FALSE
2,932,2,1.67288969879981,1.55870831414912,-0.0623413464042241,0.05,0.126522731054907,FALSE
3,490,1,0.956166644207935,0.070508391424576,0.721822272359463,0,0.163835980423896,FALSE
3,490,2,0.913983355840466,0.070508391424576,0.721822272359463,0.05,0.0716526920564269,FALSE
4,340,1,-0.388136519589429,0.129287735160946,-0.616044597154406,0,0.098620342404031,FALSE
4,340,2,-0.00909586101948934,0.129287735160946,-0.616044597154406,0.05,0.42766100097397,FALSE
5,388,1,1.71797515387572,1.71506498688328,-0.173160118738753,0,0.176070285731195,FALSE
5,388,2,1.27614865090184,1.71506498688328,-0.173160118738753,0.05,-0.315756217242689,FALSE
6,138,1,1.35656829724913,0.460916205989202,0.97317653445804,0,-0.0775244431981122,FALSE
6,138,2,1.59536000406646,0.460916205989202,0.97317653445804,0.05,0.111267263619213,FALSE
7,425,1,-1.68138143240835,-1.26506123460653,-0.712617897266536,0,0.296297699464724,TRUE
7,260,2,-2.07112354586661,-1.26506123460653,-0.553465592330836,0.05,-0.302596718929236,TRUE
8,889,1,-0.581970541839813,-0.686852851893526,-0.299228827493716,0,0.404111137547429,FALSE
8,889,2,-0.918976853727933,-0.686852851893526,-0.299228827493716,0.05,0.017104825659309,FALSE
9,662,1,-0.470973551349561,-0.445661970099958,-0.514191588250585,0,0.488880007000983,FALSE
9,662,2,-1.00649692508288,-0.445661970099958,-0.514191588250585,0.05,-0.0966433667323416,FALSE
10,20,1,1.65127502749116,1.22408179743946,0.392625776515222,0,0.0345674535364723,FALSE
10,20,2,2.12548592366057,1.22408179743946,0.392625776515222,0.05,0.458778349705883,FALSE
11,565,1,0.0430989652140524,0.359813827057364,-0.0781608795646205,0,-0.238553982278691,FALSE
11,565,2,0.344613729963344,0.359813827057364,-0.0781608795646205,0.05,0.0129607824706004,FALSE
12,81,1,0.327474241339411,0.400771450594052,0.25948205755519,0,-0.332779266809831,TRUE
12,36,2,0.211552305704281,0.400771450594052,-0.266341678274648,0.05,0.0271225333848769,TRUE
13,313,1,0.461425872349771,0.11068271594512,0.0504815666351556,0,0.300261589769496,FALSE
13,313,2,0.22025884940597,0.11068271594512,0.0504815666351556,0.05,0.00909456682569421,FALSE
14,340,1,-1.36748690198766,-0.555841134754075,-0.616044597154406,0,-0.195601170079176,FALSE
14,340,2,-0.717823716726709,-0.555841134754075,-0.616044597154406,0.05,0.404062015181772,FALSE
15,513,1,1.17803983655789,1.78691313680308,-0.352183916151812,0,-0.256689384093373,FALSE
15,513,2,2.0185169048814,1.78691313680308,-0.352183916151812,0.05,0.533787684230133,FALSE
16,241,1,-0.0538205079855409,0.497850478229239,-0.320121901316817,0,-0.231549084897963,FALSE
16,241,2,0.391480067420203,0.497850478229239,-0.320121901316817,0.05,0.163751490507781,FALSE
17,947,1,-1.92923367952819,-1.96661715662964,0.305732639114118,0,-0.268349162012666,FALSE
17,947,2,-1.89642328401277,-1.96661715662964,0.305732639114118,0.05,-0.285538766497255,FALSE
18,411,1,0.952032260646871,0.701355901563686,0.284707714064736,0,-0.0340313549815498,TRUE
18,670,2,1.36010351227353,0.701355901563686,0.494968475002957,0.05,0.11377913570689,TRUE
19,928,1,-0.505151683970647,-0.472791407727934,0.0453862562267674,0,-0.07774653246948,FALSE
19,928,2,-0.105013860788238,-0.472791407727934,0.0453862562267674,0.05,0.272391290712929,FALSE
20,182,1,-1.05537937457613,-1.06782370598685,0.183816399031896,0,-0.171372067621181,FALSE
20,182,2,-0.864938698620064,-1.06782370598685,0.183816399031896,0.05,-0.0309313916651145,FALSE
21,881,1,0.207535948941161,-0.217974914658295,0.223118794453465,0,0.202392069145991,FALSE
21,881,2,0.13767388916747,-0.217974914658295,0.223118794453465,0.05,0.0825300093722994,FALSE
22,129,1,-1.02660169473186,-1.02600444830724,0.00103778277913307,0,-0.0016350292037528,TRUE
22,578,2,-1.03224012482691,-1.02600444830724,0.134087865282798,0.05,-0.190323541802468,TRUE
23,2,1,-1.94640331669215,-0.72889122929114,-1.05175738361197,0,-0.165754703789035,FALSE
23,2,2,-1.71740863125122,-0.72889122929114,-1.05175738361197,0.05,0.013239981651896,FALSE
24,346,1,-0.419804224446081,-0.625039267849257,0.301770606660121,0,-0.0965355632569449,FALSE
24,346,2,-0.801534430254648,-0.625039267849257,0.301770606660121,0.05,-0.528265769065512,FALSE
25,108,1,-2.50957085810883,-1.68669331074241,-0.962454140096647,0,0.139576592730229,FALSE
25,108,2,-2.49861199101446,-1.68669331074241,-0.962454140096647,0.05,0.100535459824602,FALSE
26,906,1,0.67453808185031,0.837787044494525,-0.411114009781866,0,0.247865047137651,FALSE
26,906,2,0.791111432565275,0.837787044494525,-0.411114009781866,0.05,0.314438397852616,FALSE
27,392,1,1.05123291264921,0.153373117836515,0.555741523210022,0,0.342118271602673,TRUE
27,768,2,0.579175005284301,0.153373117836515,0.35993564911201,0.05,0.0158662383357761,TRUE
28,39,1,-1.65125989688021,-1.13813693701195,-0.248547042016421,0,-0.264575917851841,FALSE
28,39,2,-2.15399004770633,-1.13813693701195,-0.248547042016421,0.05,-0.81730606867796,FALSE
29,180,1,1.49410932787555,1.25381492106993,0.264349463315212,0,-0.0240550565095854,FALSE
29,180,2,1.68483509088568,1.25381492106993,0.264349463315212,0.05,0.116670706500546,FALSE
30,89,1,0.331853926832452,0.426464221476814,-0.0925833253296206,0,-0.00202696931474093,FALSE
30,89,2,0.662107029509627,0.426464221476814,-0.0925833253296206,0.05,0.278226133362434,FALSE
31,993,1,-0.311700401906945,-0.295071482992271,0.206613106004917,0,-0.22324202491959,FALSE
31,993,2,-0.164768244073881,-0.295071482992271,0.206613106004917,0.05,-0.126309867086526,FALSE
32,266,1,1.21703407344173,0.895125661045022,0.313334023705327,0,0.00857438869137708,FALSE
32,266,2,1.47033202393218,0.895125661045022,0.313334023705327,0.05,0.211872339181835,FALSE
33,152,1,1.0346814634329,0.878133487533042,-0.357451628805958,0,0.513999604705816,FALSE
33,152,2,1.0476662633583,0.878133487533042,-0.357451628805958,0.05,0.476984404631216,FALSE
34,80,1,0.451560097315192,0.821581081637487,0.00527896545475446,0,-0.375299949777049,FALSE
34,80,2,1.09051918826767,0.821581081637487,0.00527896545475446,0.05,0.213659141175427,FALSE
35,994,1,1.0152557278232,0.688640254100091,-0.152378160215579,0,0.478993633938689,TRUE
35,707,2,1.53652044983198,0.688640254100091,0.212358140764005,0.05,0.585522054967882,TRUE
36,538,1,0.16284692136867,0.553917653537589,-0.301019101675869,0,-0.0900516304930502,FALSE
36,538,2,0.480449577104038,0.553917653537589,-0.301019101675869,0.05,0.177551025242318,FALSE
37,350,1,-0.364465426780567,-0.0619117105767217,-0.126495628491376,0,-0.17605808771247,TRUE
37,805,2,0.34487380434743,-0.0619117105767217,0.666667265565686,0.05,-0.309881750641535,TRUE
38,544,1,0.0827935445146064,-0.305962663739917,-0.104382761023676,0,0.493138969278199,FALSE
38,544,2,-0.215038320441024,-0.305962663739917,-0.104382761023676,0.05,0.145307104322569,FALSE
39,649,1,-0.52398288784069,-0.380471001012383,0.250349456799637,0,-0.393861343627944,TRUE
39,394,2,-0.379801637218432,-0.380471001012383,-0.217831042681962,0.05,0.168500406475912,TRUE
40,107,1,-0.964165361235224,-0.694706978920513,-0.492957498329897,0,0.223499116015185,TRUE
40,294,2,-0.521458633000296,-0.694706978920513,0.719344211188655,0.05,-0.596095865268438,TRUE
41,702,1,0.771230988523221,-0.207917278019599,1.13042244749671,0,-0.151274180953892,TRUE
41,339,2,-0.298662969837829,-0.207917278019599,0.0709213573303861,0.05,-0.211667049148616,TRUE
42,506,1,-1.66200132529991,-1.26539635156826,-0.369421262797122,0,-0.0271837109345189,FALSE
42,506,2,-1.82728104572184,-1.26539635156826,-0.369421262797122,0.05,-0.242463431356449,FALSE
43,782,1,1.3995581314416,2.16895596533851,-0.934509750115368,0,0.165111916218456,FALSE
43,782,2,1.1582384045596,2.16895596533851,-0.934509750115368,0.05,-0.126207810663546,FALSE
44,474,1,1.6323650732104,1.20796199830499,0.0732572340622938,0,0.351145840843112,TRUE
44,865,2,0.295114205226756,1.20796199830499,-0.693460058258303,0.05,-0.269387734819932,TRUE
45,128,1,-1.22434739148664,-1.12310858320335,0.291231722391714,0,-0.392470530675001,FALSE
45,128,2,-0.990643818018967,-1.12310858320335,0.291231722391714,0.05,-0.208766957207332,FALSE
46,611,1,0.0653178399023622,-0.402884835299076,0.229531645119686,0,0.238671030081752,FALSE
46,611,2,0.306925051600739,-0.402884835299076,0.229531645119686,0.05,0.430278241780129,FALSE
47,161,1,0.0668847481391537,-0.466655353623219,0.61371402185206,0,-0.0801739200896872,FALSE
47,161,2,0.374873486576931,-0.466655353623219,0.61371402185206,0.05,0.17781481834809,FALSE
48,654,1,1.70800683089048,0.779965118336318,0.809215676478759,0,0.118826036075403,FALSE
48,654,2,1.40390690053459,0.779965118336318,0.809215676478759,0.05,-0.235273894280491,FALSE
49,151,1,-0.483932804571274,-0.0833690664718293,-0.395914380714417,0,-0.00464935738502789,TRUE
49,109,2,0.332705605192567,-0.0833690664718293,-0.00478748331649327,0.05,0.370862154980889,TRUE
50,842,1,-0.175851655123398,0.253318513994755,-0.449721296868501,0,0.0205511277503482,TRUE
50,183,2,0.572331587103339,0.253318513994755,-0.0216424470000918,0.05,0.290655520108675,TRUE
51,17,1,0.118480646406334,-0.028546755348703,0.0663868446202338,0,0.0806405571348034,FALSE
51,17,2,0.64938539006654,-0.028546755348703,0.0663868446202338,0.05,0.561545300795009,FALSE
52,892,1,-0.467571662965431,-0.0428704572913161,-0.217157668202422,0,-0.207543537471693,TRUE
52,262,2,-0.445589360299858,-0.0428704572913161,-0.0699043452232419,0.05,-0.3828145577853,TRUE
53,303,1,0.579113931433507,1.36860228401446,-0.941978704317813,0,0.152490351736862,FALSE
53,303,2,0.29907595809197,1.36860228401446,-0.941978704317813,0.05,-0.177547621604675,FALSE
54,918,1,1.17252248015834,-0.225770985659268,1.00061209612868,0,0.397681369688928,FALSE
54,918,2,0.892243161266889,-0.225770985659268,1.00061209612868,0.05,0.0674020507974776,FALSE
55,666,1,2.19410853239201,1.51647060442954,0.503419834644318,0,0.174218093318157,FALSE
55,666,2,1.97035787420052,1.51647060442954,0.503419834644318,0.05,-0.0995325648733375,FALSE
56,221,1,-1.22232337524976,-1.54875280423022,-0.0436870877513591,0,0.37011651673182,FALSE
56,221,2,-1.53510477945775,-1.54875280423022,-0.0436870877513591,0.05,0.00733511252382765,FALSE
57,418,1,1.38407475237272,0.584613749636069,0.657910677576446,0,0.14155032516021,FALSE
57,418,2,0.454721122326237,0.584613749636069,0.657910677576446,0.05,-0.837803304886278,FALSE
58,568,1,-0.176771713115999,0.123854243844614,-0.316148959600177,0,0.0155230026395637,FALSE
58,568,2,-0.196677623400172,0.123854243844614,-0.316148959600177,0.05,-0.0543829076446093,FALSE
59,231,1,-1.08579349976476,0.215941568743973,-0.826825903822312,0,-0.474909164686418,FALSE
59,231,2,-0.373472723664527,0.215941568743973,-0.826825903822312,0.05,0.187411611413813,FALSE
60,315,1,0.47479093979751,0.379639482759882,-0.141048867094792,0,0.236200324132419,FALSE
60,315,2,0.388918379706285,0.379639482759882,-0.141048867094792,0.05,0.100327764041195,FALSE
61,628,1,-0.633089624263897,-0.502323453109302,-0.0110551412031325,0,-0.119711029951462,TRUE
61,945,2,-0.254898419026729,-0.502323453109302,-0.0609921773421325,0.05,0.258417211424706,TRUE
62,428,1,0.111009109219641,-0.33320738366942,0.761302331650517,0,-0.317085838761456,TRUE
62,732,2,0.527649017647112,-0.33320738366942,0.366679431022597,0.05,0.444176970293936,TRUE
63,288,1,-0.839743037306765,-1.01857538310709,0.235915411517782,0,-0.0570830657174584,FALSE
63,288,2,-0.778367200073209,-1.01857538310709,0.235915411517782,0.05,-0.0457072284839026,FALSE
64,269,1,-0.999657499551955,-1.07179122647558,-0.0390224317104084,0,0.111156158634031,FALSE
64,269,2,-0.584907467155917,-1.07179122647558,-0.0390224317104084,0.05,0.47590619103007,FALSE
65,68,1,0.111896202476461,0.303528641404258,-0.335094378400812,0,0.143461939473015,FALSE
65,68,2,0.0773105205838672,0.303528641404258,-0.335094378400812,0.05,0.0588762575804212,FALSE
66,701,1,-0.104450820986793,0.448209778629426,-0.601072500110197,0,0.048411900493978,FALSE
66,701,2,0.223847019010888,0.448209778629426,-0.601072500110197,0.05,0.326709740491659,FALSE
67,154,1,-0.0597167624102817,0.0530042267305042,-0.173076149594613,0,0.060355160453827,FALSE
67,154,2,-0.128090505367942,0.0530042267305042,-0.173076149594613,0.05,-0.0580185825038329,FALSE
68,11,1,1.67440663193231,0.922267467879738,0.518552695513846,0,0.233586468538724,FALSE
68,11,2,2.14481564106371,0.922267467879738,0.518552695513846,0.05,0.653995477670122,FALSE
69,96,1,2.15759151916209,2.05008468562714,0.160325841686039,0,-0.0528190081510969,FALSE
69,96,2,1.89641791367474,2.05008468562714,0.160325841686039,0.05,-0.363992613638446,FALSE
70,225,1,-0.828354158128665,-0.491031166056535,-0.283346333855435,0,-0.0539766582166939,TRUE
70,841,2,-0.471835791424751,-0.491031166056535,-0.00111948642416337,0.05,-0.0296851389440522,TRUE
71,990,1,-1.60528882526386,-2.30916887564081,0.786187000384492,0,-0.0823069500075357,FALSE
71,990,2,-1.07055589875326,-2.30916887564081,0.786187000384492,0.05,0.402425976503064,FALSE
72,221,1,1.36677251512031,1.00573852446226,-0.0436870877513591,0,0.404721078409409,TRUE
72,302,2,1.44371112271512,1.00573852446226,0.15379939636624,0.05,0.234173201886628,TRUE
73,453,1,-1.23416850533044,-0.709200762582393,-0.591491041874619,0,0.0665232991265671,TRUE
73,497,2,-2.16342870039772,-0.709200762582393,-0.941330681683437,0.05,-0.562897256131886,TRUE
74,474,1,-0.186002360939421,-0.688008616467358,0.0732572340622938,0,0.428749021465643,FALSE
74,474,2,-0.414504213418788,-0.688008616467358,0.0732572340622938,0.05,0.150247168986277,FALSE
75,919,1,0.719215665947619,1.0255713696967,-0.404671034124449,0,0.0983153303753691,FALSE
75,919,2,0.885555558426136,1.0255713696967,-0.404671034124449,0.05,0.214655222853886,FALSE
76,539,1,0.1529673211231,-0.284773007051009,0.0969742476263865,0,0.340766080547723,FALSE
76,539,2,-0.167105855289506,-0.284773007051009,0.0969742476263865,0.05,-0.0293070958648839,FALSE
77,418,1,-0.513504265160365,-1.22071771225454,0.657910677576446,0,0.0493027695177255,TRUE
77,305,2,-1.47463501141259,-1.22071771225454,-0.088982501668284,0.05,-0.214934797489766,TRUE
78,721,1,0.517394590079775,0.18130347974915,-0.0550256056823177,0,0.391116716012942,FALSE
78,721,2,0.0123705914284122,0.18130347974915,-0.0550256056823177,0.05,-0.16390728263842,FALSE
79,319,1,-0.45938490077169,-0.138891362439045,-0.263284081124377,0,-0.0572094572082684,FALSE
79,319,2,-0.192220485326241,-0.138891362439045,-0.263284081124377,0.05,0.159954958237181,FALSE
80,279,1,-1.8932061447295,0.00576418589988693,-1.48544118062955,0,-0.413529149999834,TRUE
80,559,2,-0.284765224769586,0.00576418589988693,0.0748885339139612,0.05,-0.415417944583434,TRUE
81,353,1,0.961183326734173,0.385280401126331,0.368264518881159,0,0.207638406726683,FALSE
81,353,2,1.04064561576775,0.385280401126331,0.368264518881159,0.05,0.237100695760264,FALSE
82,322,1,-0.0491350172463976,-0.370660031792409,-0.0105938442077742,0,0.332118858753786,TRUE
82,189,2,-0.156947940227264,-0.370660031792409,0.493408023931291,0.05,-0.329695932366146,TRUE
83,91,1,-0.278226799178323,0.644376548518833,-1.06487068349381,0,0.142267335796653,TRUE
83,730,2,1.46246502558416,0.644376548518833,0.380456152887036,0.05,0.387632324178293,TRUE
84,457,1,-0.800142278756273,-0.220486561818751,-0.297300108110457,0,-0.282355608827065,FALSE
84,457,2,-0.571630688922703,-0.220486561818751,-0.297300108110457,0.05,-0.103844018993495,FALSE
85,965,1,-0.720227301874291,0.331781963915697,-0.704833582107041,0,-0.347175683682947,FALSE
85,965,2,0.0320024479255286,0.331781963915697,-0.704833582107041,0.05,0.355054066116873,FALSE
86,100,1,0.524885228132556,1.09683901314935,-0.408525120689992,0,-0.163428664326799,TRUE
86,673,2,1.31055455959187,1.09683901314935,0.253976059600311,0.05,-0.0902605131577893,TRUE
87,127,1,0.510012162634566,0.435181490833803,0.405274257198556,0,-0.330443585397793,FALSE
87,127,2,1.43914181486924,0.435181490833803,0.405274257198556,0.05,0.548686066836885,FALSE
88,502,1,-0.617335164588507,-0.325931585531227,-0.151266494002107,0,-0.140137085055173,FALSE
88,502,2,-0.393256699093803,-0.325931585531227,-0.151266494002107,0.05,0.0339413804395311,FALSE
89,843,1,1.28033620022091,1.14880761845109,0.209069571234292,0,-0.0775409894644752,FALSE
89,843,2,1.35860011486975,1.14880761845109,0.209069571234292,0.05,-0.0492770748156337,FALSE
90,76,1,0.128273768869207,0.993503855962119,-1.12631722228663,0,0.261087135193719,FALSE
90,76,2,-0.138801280368073,0.993503855962119,-1.12631722228663,0.05,-0.055987914043561,FALSE
91,424,1,0.86387880001,0.54839695950807,0.579839279593816,0,-0.264357439091886,TRUE
91,778,2,0.492608980602755,0.54839695950807,-0.273439496042877,0.05,0.167651517137562,TRUE
92,149,1,0.194016636437696,0.238731735111441,0.076295264493462,0,-0.121010363167208,FALSE
92,149,2,0.597541962628293,0.238731735111441,0.076295264493462,0.05,0.23251496302339,FALSE
93,557,1,-1.13389747721902,-0.627906076039372,-0.422248257176715,0,-0.0837431440029379,FALSE
93,557,2,-1.25145908279228,-0.627906076039372,-0.422248257176715,0.05,-0.251304749576192,FALSE
94,649,1,1.6962259461914,1.36065244853001,0.250349456799637,0,0.085224040861754,TRUE
94,122,2,1.91188669276513,1.36065244853001,0.409686362922507,0.05,0.0915478813126127,TRUE
95,225,1,-0.525060462013304,-0.600259587147127,-0.283346333855435,0,0.358545458989258,FALSE
95,225,2,-0.704572212564864,-0.600259587147127,-0.283346333855435,0.05,0.129033708437699,FALSE
96,930,1,1.34911917154308,2.18733299301658,-0.389976958480742,0,-0.44823686299276,TRUE
96,813,2,2.45946914501117,2.18733299301658,0.124232410290948,0.05,0.0979037417036427,TRUE
97,552,1,0.671175057023459,1.53261062618519,-0.612768811459709,0,-0.248666757702021,FALSE
97,552,2,1.28345787525764,1.53261062618519,-0.612768811459709,0.05,0.313616060532156,FALSE
98,211,1,-0.654373316966677,-0.235700359100477,-0.329039878937835,0,-0.0896330789283649,TRUE
98,240,2,-1.49565335427548,-0.235700359100477,-1.01712484177002,0.05,-0.292828153404974,TRUE
99,617,1,-1.61307394747478,-1.02642090030678,-0.225124251872676,0,-0.361528795295325,TRUE
99,693,2,-0.826076999012859,-1.02642090030678,-0.30577790557038,0.05,0.456121806864302,TRUE
100,820,1,-0.34197750815893,-0.710406563699301,0.38137279550164,0,-0.0129437399612689,TRUE
100,22,2,-0.928751690146449,-0.710406563699301,-0.212228460264459,0.05,-0.0561166661826892,TRUE
101,424,1,0.550102820184496,0.25688370915653,0.579839279593816,0,-0.286620168565849,TRUE
