i,alpha,mover,j1,j2
0,-0.560475646552213,TRUE,416,765
1,-0.23017748948328,FALSE,327,327
2,1.55870831414912,FALSE,932,932
3,0.070508391424576,FALSE,490,490
4,0.129287735160946,FALSE,340,340
5,1.71506498688328,FALSE,388,388
6,0.460916205989202,FALSE,138,138
7,-1.26506123460653,TRUE,425,260
8,-0.686852851893526,FALSE,889,889
9,-0.445661970099958,FALSE,662,662
10,1.22408179743946,FALSE,20,20
11,0.359813827057364,FALSE,565,565
12,0.400771450594052,TRUE,81,36
13,0.11068271594512,FALSE,313,313
14,-0.555841134754075,FALSE,340,340
15,1.78691313680308,FALSE,513,513
16,0.497850478229239,FALSE,241,241
17,-1.96661715662964,FALSE,947,947
18,0.701355901563686,TRUE,411,670
19,-0.472791407727934,FALSE,928,928
20,-1.06782370598685,FALSE,182,182
21,-0.217974914658295,FALSE,881,881
22,-1.02600444830724,TRUE,129,578
23,-0.72889122929114,FALSE,2,2
24,-0.625039267849257,FALSE,346,346
25,-1.68669331074241,FALSE,108,108
26,0.837787044494525,FALSE,906,906
27,0.153373117836515,TRUE,392,768
28,-1.13813693701195,FALSE,39,39
29,1.25381492106993,FALSE,180,180
30,0.426464221476814,FALSE,89,89
31,-0.295071482992271,FALSE,993,993
32,0.895125661045022,FALSE,266,266
33,0.878133487533042,FALSE,152,152
34,0.821581081637487,FALSE,80,80
35,0.688640254100091,TRUE,994,707
36,0.553917653537589,FALSE,538,538
37,-0.0619117105767217,TRUE,350,805
38,-0.305962663739917,FALSE,544,544
39,-0.380471001012383,TRUE,649,394
40,-0.694706978920513,TRUE,107,294
41,-0.207917278019599,TRUE,702,339
42,-1.26539635156826,FALSE,506,506
43,2.16895596533851,FALSE,782,782
44,1.20796199830499,TRUE,474,865
45,-1.12310858320335,FALSE,128,128
46,-0.402884835299076,FALSE,611,611
47,-0.466655353623219,FALSE,161,161
48,0.779965118336318,FALSE,654,654
49,-0.0833690664718293,TRUE,151,109
50,0.253318513994755,TRUE,842,183
51,-0.028546755348703,FALSE,17,17
52,-0.0428704572913161,TRUE,892,262
53,1.36860228401446,FALSE,303,303
54,-0.225770985659268,FALSE,918,918
55,1.51647060442954,FALSE,666,666
56,-1.54875280423022,FALSE,221,221
57,0.584613749636069,FALSE,418,418
58,0.123854243844614,FALSE,568,568
59,0.215941568743973,FALSE,231,231
60,0.379639482759882,FALSE,315,315
61,-0.502323453109302,TRUE,628,945
62,-0.33320738366942,TRUE,428,732
63,-1.01857538310709,FALSE,288,288
64,-1.07179122647558,FALSE,269,269
65,0.303528641404258,FALSE,68,68
66,0.448209778629426,FALSE,701,701
67,0.0530042267305042,FALSE,154,154
68,0.922267467879738,FALSE,11,11
69,2.05008468562714,FALSE,96,96
70,-0.491031166056535,TRUE,225,841
71,-2.30916887564081,FALSE,990,990
72,1.00573852446226,TRUE,221,302
73,-0.709200762582393,TRUE,453,497
74,-0.688008616467358,FALSE,474,474
75,1.0255713696967,FALSE,919,919
76,-0.284773007051009,FALSE,539,539
77,-1.22071771225454,TRUE,418,305
78,0.18130347974915,FALSE,721,721
79,-0.138891362439045,FALSE,319,319
80,0.00576418589988693,TRUE,279,559
81,0.385280401126331,FALSE,353,353
82,-0.370660031792409,TRUE,322,189
83,0.644376548518833,TRUE,91,730
84,-0.220486561818751,FALSE,457,457
85,0.331781963915697,FALSE,965,965
86,1.09683901314935,TRUE,100,673
87,0.435181490833803,FALSE,127,127
88,-0.325931585531227,FALSE,502,502
89,1.14880761845109,FALSE,843,843
90,0.993503855962119,FALSE,76,76
91,0.54839695950807,TRUE,424,778
92,0.238731735111441,FALSE,149,149
93,-0.627906076039372,FALSE,557,557
94,1.36065244853001,TRUE,649,122
95,-0.600259587147127,FALSE,225,225
96,2.18733299301658,TRUE,930,813
