blm_firm_type,n_firms,mean_true_psi,sd_true_psi,min_true_psi,max_true_psi
0,38,-1.0190939124457,0.200335652751031,-1.48544118062955,-0.62491040457145
1,119,0.346736214857414,0.236198021530451,-0.353221962711946,0.926593835432999
2,149,-0.0560890544381031,0.224628209639634,-0.723893076768995,0.476491668609304
3,54,-0.420028028007811,0.201652842630992,-0.83281060311074,0.0111703222445664
4,108,0.533864627212566,0.209674100293342,0.0504815666351556,0.98957303954867
5,77,-0.734094372924024,0.248463359069219,-1.32485004167215,-0.221776655415738
6,65,0.841655470796047,0.246942711383255,0.215203973850161,1.50722559655877
7,88,-0.394511227658636,0.218349531941664,-0.822209291151897,0.164939413666707
8,141,-0.206478607341097,0.201767959796771,-0.941771752345613,0.206688918833337
9,161,0.167487848984987,0.206252374885863,-0.389048729546165,0.736059025237987
