j,psi,blm_firm_type
0,-0.41814837018148,3
1,-0.110286496514231,9
2,-1.05175738361197,5
3,-0.833903771511327,0
4,-0.548981428986506,2
5,-0.83281060311074,3
6,-0.0247503144612612,8
7,0.779651463123096,4
8,-0.202311970022416,2
9,0.393013049854174,9
10,0.369564581240283,1
11,0.518552695513846,6
12,-0.566854711560217,3
13,-0.602654907085076,7
14,0.834352860054381,4
15,0.768078966475773,4
16,-0.0484666773526943,7
17,0.0663868446202338,2
18,-0.263120329367906,2
19,-0.632138578971698,5
20,0.392625776515222,1
21,-0.744339618353948,5
22,-0.212228460264459,8
23,-0.683416550685872,3
24,0.404378872107226,4
25,-0.929092836921702,0
26,-0.522033349630082,5
27,0.0690652752495962,9
28,0.402472426079357,1
29,-0.970440792927081,5
30,0.824882968970494,6
31,0.678001858986961,1
32,0.411508557084285,6
33,0.157783353970333,9
34,-0.172412791065773,8
35,0.0197245707266029,9
36,-0.266341678274648,8
37,-0.078209693894614,2
38,0.627320695579756,4
39,-0.248547042016421,7
40,-0.343926145540147,8
41,0.341483988315822,9
42,-0.709476722521883,5
43,0.00515493613084607,9
44,0.413628782604703,4
45,0.327010608815947,2
46,0.0641354162317613,2
47,0.104418849574601,8
48,0.115549891513942,2
49,0.141965080733145,1
50,0.26811051948065,4
51,-0.324374999014396,3
52,-1.23306626457352,0
53,-0.671366778627808,5
54,0.0209959747927147,9
55,-0.112751520406385,8
56,0.885827747297067,4
57,-0.583129756572855,5
58,-0.310551410258427,7
59,-0.722165403836203,5
60,0.0481781486513085,2
61,-0.227397526620145,7
62,0.126705681875236,9
63,0.883418552225007,6
64,-0.171927836911859,8
65,-0.0454898954126766,8
66,-0.00168612943321934,7
67,0.996943439921749,6
68,-0.335094378400812,8
69,0.494444102927059,1
70,0.271617334623365,2
71,0.139595305499866,9
72,0.164939413666707,7
73,0.846375967520813,1
74,0.84305231578362,6
75,0.452333544799483,1
76,-1.12631722228663,5
77,0.181663140234814,9
78,0.188144638123719,1
79,0.213239942310475,9
80,0.00527896545475446,2
81,0.25948205755519,9
82,0.75256052626469,4
83,0.0106251041076415,2
84,0.219344267096889,9
85,-0.543301154361419,8
86,0.0134895906181255,2
87,0.350204436222438,1
88,0.52562132088723,1
89,-0.0925833253296206,2
90,-0.010504149955348,3
91,-1.06487068349381,5
92,0.639966506598666,4
93,0.391569768269491,9
94,-0.0752510151327278,1
